1.0,0.013277,-0.1146775,4.0
1.0,0.560929,-0.120436,4.0
1.0,1.07316,-0.131485,4.0
1.0,1.58618,-0.14042,4.0
1.0,2.1103,-0.151278,4.0
1.0,2.63816,-0.1606725,4.0
1.0,3.16889,-0.17468,4.0
1.0,3.70411,-0.1645455,4.0
1.0,4.22867,-0.15196,4.0
1.0,4.76203,-0.142544,4.0
1.0,5.32133,-0.1359265,4.0
1.0,5.82517,-0.053544,4.0
1.0,6.43856,0.102983,4.0
1.0,6.90087,0.3335655,4.0
1.0,7.10284,0.578665,4.0
1.0,6.61611,0.91731,4.0
1.0,5.99446,1.15206,4.0
1.0,5.50411,1.222,4.0
1.0,4.98734,1.175155,4.0
1.0,4.47971,1.090725,4.0
1.0,3.9533,1.020135,4.0
1.0,3.49413,0.916845,4.0
1.0,3.0116,0.838095,4.0
1.0,2.49684,0.814755,4.0
1.0,1.99992,0.937365,4.0
1.0,1.56175,1.0646,4.0
1.0,1.1027,1.190735,4.0
1.0,0.669253,1.32918,4.0
1.0,0.270005,1.504845,4.0
1.0,-0.056339,1.70538,4.0
1.0,-0.402081,1.89023,4.0
1.0,-0.768792,2.04191,4.0
1.0,-1.09709,2.197915,4.0
1.0,-1.48229,2.36717,4.0
1.0,-1.93022,2.5347,4.0
1.0,-2.4036,2.69328,4.0
1.0,-2.89617,2.649195,4.0
1.0,-3.27147,2.461455,4.0
1.0,-3.39639,2.215165,4.0
1.0,-3.21176,1.974925,4.0
1.0,-2.80536,1.756955,4.0
1.0,-2.30928,1.692765,4.0
1.0,-1.88674,1.599565,4.0
1.0,-1.67091,1.36442,4.0
1.0,-1.80612,1.115315,4.0
1.0,-2.16561,0.939355,4.0
1.0,-2.67447,0.913545,4.0
1.0,-3.18323,0.920915,4.0
1.0,-3.70856,0.95824,4.0
1.0,-4.20449,1.04065,4.0
1.0,-4.53181,1.17487,4.0
1.0,-4.7059,1.417465,4.0
1.0,-4.75264,1.670325,4.0
1.0,-4.75662,1.91682,4.0
1.0,-4.80355,2.177495,4.0
1.0,-4.80593,2.42963,4.0
1.0,-4.90708,2.683375,4.0
1.0,-5.0649,2.90054,4.0
1.0,-5.47487,3.043685,4.0
1.0,-6.00231,3.12029,4.0
1.0,-6.46665,3.0095,4.0
1.0,-6.6251,2.789085,4.0
1.0,-6.8,2.468705,4.0
1.0,-6.8,2.104195,4.0
1.0,-6.8,1.854335,4.0
1.0,-6.8,1.580225,4.0
1.0,-6.8,1.30329,4.0
1.0,-6.8,1.039695,4.0
1.0,-6.75,0.774585,4.0
1.0,-6.7,0.529185,4.0
1.0,-6.655338,0.3051925,4.0
1.0,-6.38468,0.152246,4.0
1.0,-5.86149,0.053468,4.0
1.0,-5.35472,0.000159,4.0
1.0,-4.84089,-0.012019,4.0
1.0,-4.32476,-0.020932,4.0
1.0,-3.82411,-0.032816,4.0
1.0,-3.2136,-0.044065,4.0
1.0,-2.71126,-0.051911,4.0
1.0,-2.18393,-0.0635455,4.0
1.0,-1.68642,-0.0741305,4.0
1.0,-1.18866,-0.084863,4.0
1.0,-0.659195,-0.0913335,4.0
1.0,0.013277,-0.1046775,4.0
